"bank_code"|"bank_short_name"|"bank_name_th"|"bank_name_en"|"effective_date"|"expire_date"|"last_upd_date"
"919"|"TRUEMONEY"|"บริษัท ทรู มันนี่ จำกัด"|"TRUE MONEY CO.,LTD."|"2005-09-09 00:00:00"||"2005-09-09 00:00:00"
"865"|"CTCBTWTP"|"ซีทีบีซี แบงค์ คอมปานี ลิมิเต็ด"|"CTBC BANK CO., LTD."|"2021-06-09 09:57:41"||"2021-06-09 09:57:41"
"017"|"CITITHBX"|"ธนาคารซิตี้แบงก์ เอ็น.เอ."|"CITIBANK, N.A."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"985"|"TCHCTHB1"|"บริษัท สำนักหักบัญชี (ประเทศไทย) จำกัด"|"THAILAND CLEARING HOUSE CO., LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"039"|"MHCBTHBK"|"ธนาคารมิซูโฮ จำกัด สาขากรุงเทพฯ"|"MIZUHO BANK, LTD. BANGKOK BRANCH"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"9806"|"OCBCSGSG"|"โอเวอร์ชีส์-ไชนีสแบงกิ้ง คอร์ปอร์เรชั่น"|"OVERSEA-CHINESE BANKING CORPORATION LIMITED"|"2018-07-05 00:00:00"||"2024-01-22 23:12:26"
"9901"|"PROMPTPAY"|"พร้อมเพย์"|"PromptPay"|"2020-11-18 11:13:52"||"2020-11-18 11:13:52"
"066"|"TIBTTHBK"|"ธนาคารอิสลามแห่งประเทศไทย"|"ISLAMIC BANK OF THAILAND"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"9801"|"ABBYGB2LXXX"|"ธนาคารซานทานเดอร์ สหราชอาณาจักร"|"Santander UK"|"2023-08-09 00:00:00"||"2023-08-09 15:07:53"
"333"|"THPNTHB1"|"บริษัท ไทย เพย์เมนต์ เน็ตเวิร์ก จำกัด"|"THAI PAYMENT NETWORK CO., LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"004"|"KASITHBK"|"ธนาคารกสิกรไทย จำกัด (มหาชน)"|"KASIKORNBANK PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"024"|"UOVBTHBK"|"ธนาคารยูโอบี จำกัด (มหาชน)"|"UNITED OVERSEAS BANK (THAI) PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"9902"|"GWALLET"|"จี วอลเล็ท"|"G-Wallet"|"2021-06-01 00:00:00"||"2023-11-13 09:27:03"
"098"|"SMEBTHBK"|"ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย"|"SMALL AND MEDIUM ENTERPRISE DEVELOPMENT BANK OF THAILAND"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"032"|"DEUTTHBK"|"ธนาคารดอยซ์แบงก์"|"DEUTSCHE BANK AG."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"033"|"GOHUTHB1"|"ธนาคารอาคารสงเคราะห์"|"THE GOVERNMENT HOUSING BANK"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"452"|"ADVNTHB1"|"บริษัทเงินทุน แอ็ดวานซ์ จำกัด (มหาชน)"|"ADVANCE FINANCE PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"025"|"AYUDTHBK"|"ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน)"|"BANK OF AYUDHYA PUBLIC COMPANY LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"029"|"BHOBTHBK"|"ธนาคารอินเดียนโอเวอร์ซีส์"|"INDIAN OVERSEA BANK"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"045"|"BNPATHBK"|"ธนาคารบีเอ็นพี พารีบาส์"|"BNP PARIBAS"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"096"|"SMCRTHB1"|"บรรษัทตลาดรองสินเชื่อที่อยู่อาศัย"|"SECONDARY MORTGAGE CORPORATION"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"065"|"THBKTHBK"|"ธนาคารธนชาต จำกัด (มหาชน)"|"THANACHART BANK PUBLIC COMPANY LTD."|"2020-04-10 02:57:19"|"2021-07-05 T00:00:00"|"2024-07-31 11:52:21"
"009"|"OCBCTHBK"|"ธนาคารโอเวอร์ซี-ไชนีสแบงกิ้งคอร์ปอเรชั่น จำกัด"|"OVER SEA-CHINESE BANKING CORPORATION LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"006"|"KRTHTHBK"|"ธนาคารกรุงไทย จำกัด (มหาชน)"|"KRUNG THAI BANK PUBLIC COMPANY LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"014"|"SICOTHBK"|"ธนาคารไทยพาณิชย์ จำกัด (มหาชน)"|"SIAM COMMERCIAL BANK PUBLIC COMPANY LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"071"|"THCETHB1"|"ธนาคารไทยเครดิต เพื่อรายย่อย จำกัด (มหาชน)"|"THE THAI CREDIT RETAIL BANK PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"303"|"SHOPEEPAY"|"บริษัท ช้อปปี้เพย์ (ประเทศไทย) จำกัด"|"SHOPEEPAY (THAILAND) CO., LTD."|"2020-04-10 02:57:19"||"2022-04-27 15:27:47"
"035"|"EXTHTHBK"|"ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย"|"EXPORT-IMPORT BANK OF THAILAND"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"067"|"TFPCTHB1"|"ธนาคารทิสโก้ จำกัด (มหาชน)"|"TISCO BANK PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"018"|"SMBCTHBK"|"ธนาคารซูมิโตโม มิตซุย แบงกิ้ง คอร์ปอเรชั่น"|"SUMITOMO MITSUI BANKING CORPORATION"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"022"|"UBOBTHBK"|"ธนาคารซีไอเอ็มบี ไทย จำกัด (มหาชน)"|"CIMB THAI BANK PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"030"|"GSBATHBK"|"ธนาคารออมสิน"|"GOVERNMENT SAVINGS BANK"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"031"|"HSBCTHBK"|"ธนาคารฮ่องกงและเซี่ยงไฮ้แบงกิ้งคอร์ปอเรชั่น จำกัด"|"THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"9804"|"IDCBLALA"|"ธนาคารอินโดไชน่า"|"Indochina Bank"|"2023-08-09 00:00:00"||"2023-08-09 15:07:53"
"9803"|"KREDBEBB"|"ธนาคารเคบีซี บรัสเซล"|"KBC Brussels"|"2023-08-09 00:00:00"||"2023-08-09 15:07:53"
"980"|"PRCYTHB1"|"บริษัท ศูนย์ประมวลผล จำกัด"|"PROCESSING CENTER CO., LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"027"|"BOFATH2X"|"ธนาคารแห่งอเมริกาเนชั่นแนลแอสโซซิเอชั่น"|"BANK OF AMERICA, NATIONAL ASSOCIATION"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"052"|"BKCHTHBK"|"ธนาคารแห่งประเทศจีน (ไทย) จำกัด (มหาชน)"|"BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"070"|"ICBKTHBK"|"ธนาคารไอซีบีซี (ไทย) จำกัด (มหาชน)"|"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"898"|"WELLSFARGO"|"เวลส์ ฟาร์โก้ แบงก์, เนชั่นแนล แอสโซซิเอชั่น"|"WELLS  FARGO BANK, NATIONAL ASSOCIATION"|"2021-05-20 12:13:49"||"2021-05-20 12:13:49"
"023"|"DCBBTHBK"|"ธนาคารอาร์ เอช บี จำกัด"|"RHB BANK BERHAD"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"069"|"KKPBTHBK"|"ธนาคารเกียรตินาคินภัทร จำกัด (มหาชน)"|"KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2021-07-06 14:06:44"
"9802"|"NWBKGB2L"|"ธนาคารเนชั่นนอล เวสมินเตอร์"|"National Westminster Bank"|"2023-08-09 00:00:00"||"2023-08-09 15:07:53"
"034"|"BAABTHBK"|"ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร"|"BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"008"|"CHASTHBX"|"ธนาคารเจพีมอร์แกน เชส"|"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"020"|"SCBLTHBX"|"ธนาคารสแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน)"|"STANDARD CHARTERED BANK (THAI) PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"026"|"ICBCTHBK"|"ธนาคารเมกะ สากลพาณิชย์ จำกัด (มหาชน)"|"MEGA  INTERNATIONAL COMMERCIAL BANK PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"969"|"NAITTHB1"|"บริษัท เนชั่นแนลไอทีเอ็มเอ๊กซ์ จำกัด"|"NATIONAL ITMX CO., LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"453"|"BFITTHB1"|"บริษัทเงินทุน ศรีสวัสดิ์ จำกัด (มหาชน)"|"SRISAWAD FINANCE PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"080"|"STBCTHBK"|"ธนาคารซูมิโตโม มิตซุย ทรัสต์ (ไทย) จำกัด (มหาชน)"|"SUMITOMO MITSUI TRUST BANK (THAI) PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"011"|"TMBKTHBK"|"ธนาคารทหารไทยธนชาต จำกัด (มหาชน)"|"TMBTHANACHART BANK PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2021-07-06 14:06:44"
"079"|"ANZBTHBK"|"ธนาคารเอเอ็นแซด (ไทย) จำกัด (มหาชน)"|"ANZ BANK (THAI) PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"073"|"LAHRTHB2"|"ธนาคารแลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน)"|"LAND AND HOUSES BANK PUBLIC COMPANY LIMITED"|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"002"|"BKKBTHBK"|"ธนาคารกรุงเทพ จำกัด (มหาชน)"|"BANGKOK BANK PUBLIC COMPANY LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
"331"|"VIIHTHB1"|"บริษัท วีซ่า อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด"|"VISA INTERNATIONAL (THAILAND) LTD."|"2020-04-10 02:57:19"||"2020-04-10 02:57:19"
