"business_type_code"|"business_type_desc_th"|"business_type_desc_en"|"last_upd_date"
"109"|"ธุรกิจนำเที่ยว บริษัททัวร์"|"Tour Agency"|"2020-04-07 09:03:57"
"106"|"ค้าขาย อัญมณี ทองคำ วัตถุโบราณ"|"Jewelry/Gold/Antique Shop"|"2020-04-07 09:03:57"
"101"|"หน่วยงานราชการ / หน่วยงานรัฐวิสาหกิจ / องค์กรอิสระ"|"Government Agency"|"2020-04-07 09:03:57"
"103"|"ธุรกิจประกันภัย"|"Insurance Company"|"2020-04-07 09:03:57"
"110"|"ธุรกิจค้าอาวุทธภัณฑ์ "|"Arms Trade"|"2020-04-07 09:03:57"
"105"|"ธุรกิจเกี่ยวกับอสังหาริมทรัพย์ "|"Real Estate Company"|"2020-04-07 09:03:57"
"102"|"สำนักงานกฎหมายหรือบัญชี"|"Law/Accounting Office"|"2020-04-07 09:03:57"
"108"|"ธุรกิจคาสิโนหรือการพนันตามกฎหมาย"|"Casino/Gambling Business"|"2020-04-07 09:03:57"
"999"|"อื่น ๆ"|"Other"|"2020-04-07 09:03:57"
"112"|"ธุรกิจจัดหางานข้ามประเทศ"|"International Recruitment Agency"|"2020-04-07 09:03:57"
"111"|"ธุรกิจสถานบริการ "|"Entertainment Facility"|"2020-04-07 09:03:57"
"104"|"สถาบันการเงินหรือธนาคาร"|"Financial Institution"|"2020-04-07 09:03:57"
"107"|"ธุรกิจแลกเปลี่ยนเงินตรา/โอนเงิน"|"Foreign Exchange/Money Transfer Service"|"2020-04-07 09:03:57"
