"occupation_code"|"occupation_desc_en"|"occupation_desc_th"|"last_upd_date"
"107"|"Retired"|"ไม่ได้ทำงาน/เกษียณอายุ"|"2020-04-08 03:59:30"
"101"|"Government Agency Officer"|"ข้าราชการ/รัฐวิสาหกิจ/องค์กรอิสระ"|"2020-04-08 03:59:30"
"104"|"Freelance/Artist"|"อาชีพอิสระ/ศิลปิน"|"2020-04-08 03:59:30"
"999"|"Other"|"อื่น ๆ"|"2020-04-08 03:59:30"
"106"|"Student"|"นักเรียน / นักศึกษา"|"2020-04-08 03:59:30"
"108"|"Politician"|"นักการเมือง "|"2020-04-08 03:59:30"
"105"|"Self-employed"|"แม่บ้าน/พ่อบ้าน"|"2020-04-08 03:59:30"
"103"|"Business Owner"|"เจ้าของกิจการ/ธุรกิจส่วนตัว/ค้าขาย"|"2020-04-08 03:59:30"
"102"|"Company Employee"|"พนักงานเอกชน/รับจ้าง"|"2020-04-08 03:59:30"
