"suitability_test_score_code"|"suitability_test_score_desc_en"|"suitability_test_score_desc_th"|"last_upd_date"
"90"|"No suitability test performed"|"ไม่ได้ทำการประเมินความเสี่ยง"|"2021-12-15 19:45:40"
"KT03"|"Incomplete Knowledge Test"|"ไม่ได้ทำการทดสอบความรู้"|"2024-03-05 09:20:16"
"20"|"Medium-to-moderate-low-risk investor"|"ผู้ลงทุนความเสี่ยงต่ำ-ปานกลาง"|"2020-04-08 04:21:25"
"30"|"Medium-to-moderate-high-risk investor "|"ผู้ลงทุนความเสี่ยงปานกลาง-สูง"|"2020-04-08 04:21:25"
"50"|"Very-high-risk investor"|"ผู้ลงทุนความเสี่ยงสูงมาก"|"2020-04-08 04:21:25"
"10"|"Low-risk investor"|"ผู้ลงทุนความเสี่ยงต่ำ"|"2020-04-08 04:21:25"
"KT01"|"Passed Knowledge Test"|"ผลการทดสอบความรู้ผ่าน"|"2024-03-05 09:20:16"
"KT02"|"Failed Knowledge Test"|"ผลการทดสอบความรู้ไม่ผ่าน"|"2024-03-05 09:20:16"
"40"|"High-risk investor"|"ผู้ลงทุนความเสี่ยงสูง"|"2020-04-08 04:21:25"
